Channel ID,Overall,Property amenities,Room amenities,Policies and deposits,Photos
37507777,Level: Poor(35%),Level: Standard(70%),Level: Poor(43%),Level: Standard(50%),Level: Poor(20%)
36195642,Level: Strong(77%),Level: Strong(76%),Level: Strong(84%),Level: Standard(50%),Level: Strong(78%)
37918188,Level: Poor(24%),Level: Poor(27%),Level: Poor(40%),Level: Poor(16%),Level: Poor(19%)
37650258,Level: Poor(42%),Level: Strong(77%),Level: Strong(91%),Level: Standard(50%),Level: Poor(17%)
38441175,Level: Poor(44%),Level: Strong(95%),Level: Strong(93%),Level: Standard(50%),Level: Poor(14%)
38224313,Level: Poor(46%),Level: Strong(100%),Level: Strong(85%),Level: Strong(100%),Level: Poor(14%)
38160035,Level: Poor(27%),Level: Poor(31%),Level: Poor(44%),Level: Poor(16%),Level: Poor(22%)
40739382,Level: Poor(39%),Level: Strong(87%),Level: Standard(73%),Level: Strong(100%),Level: Poor(9%)
36806880,Level: Standard(53%),Level: Standard(73%),Level: Strong(91%),Level: Standard(50%),Level: Poor(35%)
36806905,Level: Poor(29%),Level: Poor(32%),Level: Standard(66%),Level: Poor(16%),Level: Poor(19%)
